trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",35,26,18.58391707545091,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",25,17,1.3188528623453808,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",25,11,-2.502580395410302,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,0,27.681845664025516,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",25,13,18.052132213871808,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",30,3,2.201914479558373,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",20,14,1.6695446423686746,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",35,0,-32.08172838888364,"{0: 32, 1: 1, 2: 0, 3: 0, 4: 2}",0
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",20,0,-3.708599814308458,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,2,-61.39926768964115,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",1
